"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"5:42:02.5248835 PM","BlueArchive.exe","15548","TCP Connect","kubernetes.docker.internal:52770 -> kubernetes.docker.internal:52769","SUCCESS","Length: 0, mss: 65495, sackopt: 1, tsopt: 0, wsopt: 1, rcvwin: 65535, rcvwinscale: 8"
"5:42:02.5683692 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:52770 -> kubernetes.docker.internal:52769","SUCCESS","Length: 9, startime: 539137, endtime: 539137, seqnum: 0, connid: 0"
"5:42:02.6915330 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:52769 -> kubernetes.docker.internal:52770","SUCCESS","Length: 1, startime: 539150, endtime: 539150, seqnum: 0, connid: 0"
"5:42:02.7009562 PM","BlueArchive.exe","15548","TCP Connect","kubernetes.docker.internal:52773 -> kubernetes.docker.internal:https","SUCCESS","Length: 0, mss: 65495, sackopt: 1, tsopt: 0, wsopt: 1, rcvwin: 65535, rcvwinscale: 8"
"5:42:02.7257543 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:52773 -> kubernetes.docker.internal:https","SUCCESS","Length: 315, startime: 539153, endtime: 539153, seqnum: 0, connid: 0"
"5:42:07.4663955 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:52773 -> kubernetes.docker.internal:https","SUCCESS","Length: 42, startime: 539627, endtime: 539627, seqnum: 0, connid: 0"
"5:42:07.4672677 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:52773 -> kubernetes.docker.internal:https","SUCCESS","Length: 6, startime: 539627, endtime: 539627, seqnum: 0, connid: 0"
"5:42:07.4677634 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:52773 -> kubernetes.docker.internal:https","SUCCESS","Length: 45, startime: 539627, endtime: 539627, seqnum: 0, connid: 0"
"5:42:07.4689080 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:52773 -> kubernetes.docker.internal:https","SUCCESS","Length: 625, startime: 539627, endtime: 539627, seqnum: 0, connid: 0"
"5:42:12.5987001 PM","BlueArchive.exe","15548","TCP Connect","kubernetes.docker.internal:52797 -> kubernetes.docker.internal:https","SUCCESS","Length: 0, mss: 65495, sackopt: 1, tsopt: 0, wsopt: 1, rcvwin: 65535, rcvwinscale: 8"
"5:42:12.5993909 PM","BlueArchive.exe","15548","TCP Connect","kubernetes.docker.internal:52799 -> kubernetes.docker.internal:52798","SUCCESS","Length: 0, mss: 65495, sackopt: 1, tsopt: 0, wsopt: 1, rcvwin: 65535, rcvwinscale: 8"
"5:42:12.5997655 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:52799 -> kubernetes.docker.internal:52798","SUCCESS","Length: 1, startime: 540140, endtime: 540141, seqnum: 0, connid: 0"
"5:42:12.6526099 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:52797 -> kubernetes.docker.internal:https","SUCCESS","Length: 200, startime: 540146, endtime: 540146, seqnum: 0, connid: 0"
"5:42:12.6638500 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:52797 -> kubernetes.docker.internal:https","SUCCESS","Length: 75, startime: 540147, endtime: 540147, seqnum: 0, connid: 0"
"5:42:12.6715188 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:52797 -> kubernetes.docker.internal:https","SUCCESS","Length: 6, startime: 540148, endtime: 540148, seqnum: 0, connid: 0"
"5:42:12.6717155 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:52797 -> kubernetes.docker.internal:https","SUCCESS","Length: 45, startime: 540148, endtime: 540148, seqnum: 0, connid: 0"
"5:42:12.6725566 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:52797 -> kubernetes.docker.internal:https","SUCCESS","Length: 306, startime: 540148, endtime: 540148, seqnum: 0, connid: 0"
"5:42:13.2950844 PM","BlueArchive.exe","15548","TCP Connect","kubernetes.docker.internal:52804 -> kubernetes.docker.internal:https","SUCCESS","Length: 0, mss: 65495, sackopt: 1, tsopt: 0, wsopt: 1, rcvwin: 262144, rcvwinscale: 8"
"5:42:13.3754298 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:52804 -> kubernetes.docker.internal:https","SUCCESS","Length: 483, startime: 540218, endtime: 540218, seqnum: 0, connid: 0"
"5:42:13.4798003 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:52804 -> kubernetes.docker.internal:https","SUCCESS","Length: 80, startime: 540228, endtime: 540229, seqnum: 0, connid: 0"
"5:42:13.4800803 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:52804 -> kubernetes.docker.internal:https","SUCCESS","Length: 194, startime: 540229, endtime: 540229, seqnum: 0, connid: 0"
"5:42:20.8062694 PM","BlueArchive.exe","15548","TCP Connect","laptop.lan1:52836 -> ec2-176-32-77-14.ap-northeast-1.compute.amazonaws.com:https","SUCCESS","Length: 0, mss: 1460, sackopt: 1, tsopt: 0, wsopt: 1, rcvwin: 65535, rcvwinscale: 8"
"5:42:21.1931030 PM","BlueArchive.exe","15548","TCP Send","laptop.lan1:52836 -> ec2-176-32-77-14.ap-northeast-1.compute.amazonaws.com:https","SUCCESS","Length: 453, startime: 540975, endtime: 541000, seqnum: 0, connid: 0"
"5:42:21.5379636 PM","BlueArchive.exe","15548","TCP Send","laptop.lan1:52836 -> ec2-176-32-77-14.ap-northeast-1.compute.amazonaws.com:https","SUCCESS","Length: 126, startime: 541009, endtime: 541034, seqnum: 0, connid: 0"
"5:42:22.0858346 PM","BlueArchive.exe","15548","TCP Send","laptop.lan1:52836 -> ec2-176-32-77-14.ap-northeast-1.compute.amazonaws.com:https","SUCCESS","Length: 168, startime: 541063, endtime: 541089, seqnum: 0, connid: 0"
"5:42:22.0858783 PM","BlueArchive.exe","15548","TCP Send","laptop.lan1:52836 -> ec2-176-32-77-14.ap-northeast-1.compute.amazonaws.com:https","SUCCESS","Length: 182, startime: 541063, endtime: 541089, seqnum: 0, connid: 0"
"5:42:22.1442297 PM","BlueArchive.exe","15548","TCP Connect","kubernetes.docker.internal:58138 -> kubernetes.docker.internal:58137","SUCCESS","Length: 0, mss: 65495, sackopt: 1, tsopt: 0, wsopt: 1, rcvwin: 65535, rcvwinscale: 8"
"5:42:22.1445150 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:58138 -> kubernetes.docker.internal:58137","SUCCESS","Length: 9, startime: 541095, endtime: 541095, seqnum: 0, connid: 0"
"5:42:22.1458733 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:58137 -> kubernetes.docker.internal:58138","SUCCESS","Length: 1, startime: 541095, endtime: 541095, seqnum: 0, connid: 0"
"5:42:22.1474793 PM","BlueArchive.exe","15548","TCP Connect","kubernetes.docker.internal:58139 -> kubernetes.docker.internal:https","SUCCESS","Length: 0, mss: 65495, sackopt: 1, tsopt: 0, wsopt: 1, rcvwin: 65535, rcvwinscale: 8"
"5:42:22.5005425 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:58139 -> kubernetes.docker.internal:https","SUCCESS","Length: 467, startime: 541131, endtime: 541131, seqnum: 0, connid: 0"
"5:42:22.6038204 PM","BlueArchive.exe","15548","TCP Connect","kubernetes.docker.internal:58144 -> kubernetes.docker.internal:https","SUCCESS","Length: 0, mss: 65495, sackopt: 1, tsopt: 0, wsopt: 1, rcvwin: 65535, rcvwinscale: 8"
"5:42:22.6043071 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:58144 -> kubernetes.docker.internal:https","SUCCESS","Length: 315, startime: 541141, endtime: 541141, seqnum: 0, connid: 0"
"5:42:22.6555857 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:58139 -> kubernetes.docker.internal:https","SUCCESS","Length: 80, startime: 541146, endtime: 541146, seqnum: 0, connid: 0"
"5:42:22.6558953 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:58139 -> kubernetes.docker.internal:https","SUCCESS","Length: 939, startime: 541146, endtime: 541146, seqnum: 0, connid: 0"
"5:42:22.6962484 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:58139 -> kubernetes.docker.internal:https","SUCCESS","Length: 24, startime: 541150, endtime: 541150, seqnum: 0, connid: 0"
"5:42:22.7402415 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:58144 -> kubernetes.docker.internal:https","SUCCESS","Length: 42, startime: 541155, endtime: 541155, seqnum: 0, connid: 0"
"5:42:22.7404182 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:58144 -> kubernetes.docker.internal:https","SUCCESS","Length: 6, startime: 541155, endtime: 541155, seqnum: 0, connid: 0"
"5:42:22.7405256 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:58144 -> kubernetes.docker.internal:https","SUCCESS","Length: 45, startime: 541155, endtime: 541155, seqnum: 0, connid: 0"
"5:42:22.7412392 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:58144 -> kubernetes.docker.internal:https","SUCCESS","Length: 1039, startime: 541155, endtime: 541155, seqnum: 0, connid: 0"
"5:42:22.8065289 PM","BlueArchive.exe","15548","TCP Connect","kubernetes.docker.internal:58146 -> kubernetes.docker.internal:58145","SUCCESS","Length: 0, mss: 65495, sackopt: 1, tsopt: 0, wsopt: 1, rcvwin: 65535, rcvwinscale: 8"
"5:42:22.8070686 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:58146 -> kubernetes.docker.internal:58145","SUCCESS","Length: 9, startime: 541161, endtime: 541161, seqnum: 0, connid: 0"
"5:42:24.7188799 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:58145 -> kubernetes.docker.internal:58146","SUCCESS","Length: 1, startime: 541352, endtime: 541352, seqnum: 0, connid: 0"
"5:42:24.7203655 PM","BlueArchive.exe","15548","TCP Connect","kubernetes.docker.internal:57628 -> kubernetes.docker.internal:https","SUCCESS","Length: 0, mss: 65495, sackopt: 1, tsopt: 0, wsopt: 1, rcvwin: 65535, rcvwinscale: 8"
"5:42:24.7636213 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:57628 -> kubernetes.docker.internal:https","SUCCESS","Length: 467, startime: 541357, endtime: 541357, seqnum: 0, connid: 0"
"5:42:24.8094797 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:57628 -> kubernetes.docker.internal:https","SUCCESS","Length: 80, startime: 541361, endtime: 541361, seqnum: 0, connid: 0"
"5:42:24.8097227 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:57628 -> kubernetes.docker.internal:https","SUCCESS","Length: 794, startime: 541361, endtime: 541361, seqnum: 0, connid: 0"
"5:42:24.8885352 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:57628 -> kubernetes.docker.internal:https","SUCCESS","Length: 24, startime: 541369, endtime: 541369, seqnum: 0, connid: 0"
"5:42:31.3449348 PM","BlueArchive.exe","15548","TCP Connect","kubernetes.docker.internal:51394 -> kubernetes.docker.internal:51393","SUCCESS","Length: 0, mss: 65495, sackopt: 1, tsopt: 0, wsopt: 1, rcvwin: 65535, rcvwinscale: 8"
"5:42:31.3556028 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:51394 -> kubernetes.docker.internal:51393","SUCCESS","Length: 9, startime: 542016, endtime: 542016, seqnum: 0, connid: 0"
"5:42:31.4650768 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:51393 -> kubernetes.docker.internal:51394","SUCCESS","Length: 1, startime: 542027, endtime: 542027, seqnum: 0, connid: 0"
"5:42:31.7299181 PM","BlueArchive.exe","15548","TCP Connect","laptop.lan1:51395 -> ec2-52-197-254-168.ap-northeast-1.compute.amazonaws.com:https","SUCCESS","Length: 0, mss: 1460, sackopt: 1, tsopt: 0, wsopt: 1, rcvwin: 65535, rcvwinscale: 8"
"5:42:31.9997574 PM","BlueArchive.exe","15548","TCP Send","laptop.lan1:51395 -> ec2-52-197-254-168.ap-northeast-1.compute.amazonaws.com:https","SUCCESS","Length: 517, startime: 542054, endtime: 542081, seqnum: 0, connid: 0"
"5:42:32.2541545 PM","BlueArchive.exe","15548","TCP Send","laptop.lan1:51395 -> ec2-52-197-254-168.ap-northeast-1.compute.amazonaws.com:https","SUCCESS","Length: 64, startime: 542081, endtime: 542106, seqnum: 0, connid: 0"
"5:42:32.2865763 PM","BlueArchive.exe","15548","TCP Send","laptop.lan1:51395 -> ec2-52-197-254-168.ap-northeast-1.compute.amazonaws.com:https","SUCCESS","Length: 1112, startime: 542081, endtime: 542109, seqnum: 0, connid: 0"
"5:42:32.5509913 PM","BlueArchive.exe","15548","TCP Send","laptop.lan1:51395 -> ec2-52-197-254-168.ap-northeast-1.compute.amazonaws.com:https","SUCCESS","Length: 24, startime: 542110, endtime: 542136, seqnum: 0, connid: 0"
"5:42:46.1409041 PM","BlueArchive.exe","15548","TCP Connect","kubernetes.docker.internal:51445 -> kubernetes.docker.internal:https","SUCCESS","Length: 0, mss: 65495, sackopt: 1, tsopt: 0, wsopt: 1, rcvwin: 65535, rcvwinscale: 8"
"5:42:46.1425496 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:51445 -> kubernetes.docker.internal:https","SUCCESS","Length: 315, startime: 543495, endtime: 543495, seqnum: 0, connid: 0"
"5:42:46.1674020 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:51445 -> kubernetes.docker.internal:https","SUCCESS","Length: 42, startime: 543497, endtime: 543497, seqnum: 0, connid: 0"
"5:42:46.1678469 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:51445 -> kubernetes.docker.internal:https","SUCCESS","Length: 6, startime: 543497, endtime: 543497, seqnum: 0, connid: 0"
"5:42:46.1679495 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:51445 -> kubernetes.docker.internal:https","SUCCESS","Length: 45, startime: 543497, endtime: 543497, seqnum: 0, connid: 0"
"5:42:46.1862674 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:51445 -> kubernetes.docker.internal:https","SUCCESS","Length: 1088, startime: 543499, endtime: 543499, seqnum: 0, connid: 0"
"5:42:46.3624788 PM","BlueArchive.exe","15548","TCP Connect","kubernetes.docker.internal:51449 -> kubernetes.docker.internal:51448","SUCCESS","Length: 0, mss: 65495, sackopt: 1, tsopt: 0, wsopt: 1, rcvwin: 65535, rcvwinscale: 8"
"5:42:46.3628412 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:51449 -> kubernetes.docker.internal:51448","SUCCESS","Length: 9, startime: 543517, endtime: 543517, seqnum: 0, connid: 0"
"5:42:46.3642231 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:51448 -> kubernetes.docker.internal:51449","SUCCESS","Length: 1, startime: 543517, endtime: 543517, seqnum: 0, connid: 0"
"5:42:46.3654967 PM","BlueArchive.exe","15548","TCP Connect","kubernetes.docker.internal:51450 -> kubernetes.docker.internal:https","SUCCESS","Length: 0, mss: 65495, sackopt: 1, tsopt: 0, wsopt: 1, rcvwin: 65535, rcvwinscale: 8"
"5:42:46.3730255 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:51450 -> kubernetes.docker.internal:https","SUCCESS","Length: 474, startime: 543518, endtime: 543518, seqnum: 0, connid: 0"
"5:42:46.3813122 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:51450 -> kubernetes.docker.internal:https","SUCCESS","Length: 80, startime: 543519, endtime: 543519, seqnum: 0, connid: 0"
"5:42:46.3814648 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:51450 -> kubernetes.docker.internal:https","SUCCESS","Length: 149, startime: 543519, endtime: 543519, seqnum: 0, connid: 0"
"5:42:46.4442958 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:51450 -> kubernetes.docker.internal:https","SUCCESS","Length: 24, startime: 543525, endtime: 543525, seqnum: 0, connid: 0"
"5:42:46.5157192 PM","BlueArchive.exe","15548","TCP Connect","kubernetes.docker.internal:51451 -> kubernetes.docker.internal:https","SUCCESS","Length: 0, mss: 65495, sackopt: 1, tsopt: 0, wsopt: 1, rcvwin: 65535, rcvwinscale: 8"
"5:42:46.5163160 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:51451 -> kubernetes.docker.internal:https","SUCCESS","Length: 322, startime: 543532, endtime: 543532, seqnum: 0, connid: 0"
"5:42:46.5202719 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:51451 -> kubernetes.docker.internal:https","SUCCESS","Length: 80, startime: 543533, endtime: 543533, seqnum: 0, connid: 0"
"5:42:46.5206066 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:51451 -> kubernetes.docker.internal:https","SUCCESS","Length: 138, startime: 543533, endtime: 543533, seqnum: 0, connid: 0"
"5:42:46.5472328 PM","BlueArchive.exe","15548","TCP Connect","kubernetes.docker.internal:51452 -> kubernetes.docker.internal:https","SUCCESS","Length: 0, mss: 65495, sackopt: 1, tsopt: 0, wsopt: 1, rcvwin: 65535, rcvwinscale: 8"
"5:42:46.5477174 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:51452 -> kubernetes.docker.internal:https","SUCCESS","Length: 321, startime: 543535, endtime: 543535, seqnum: 0, connid: 0"
"5:42:46.5514512 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:51452 -> kubernetes.docker.internal:https","SUCCESS","Length: 80, startime: 543536, endtime: 543536, seqnum: 0, connid: 0"
"5:42:46.5516320 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:51452 -> kubernetes.docker.internal:https","SUCCESS","Length: 258, startime: 543536, endtime: 543536, seqnum: 0, connid: 0"
"5:42:47.5903328 PM","BlueArchive.exe","15548","TCP Connect","kubernetes.docker.internal:51455 -> kubernetes.docker.internal:https","SUCCESS","Length: 0, mss: 65495, sackopt: 1, tsopt: 0, wsopt: 1, rcvwin: 65535, rcvwinscale: 8"
"5:42:47.5907512 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:51455 -> kubernetes.docker.internal:https","SUCCESS","Length: 321, startime: 543640, endtime: 543640, seqnum: 0, connid: 0"
"5:42:47.5915570 PM","BlueArchive.exe","15548","TCP Connect","kubernetes.docker.internal:51456 -> kubernetes.docker.internal:https","SUCCESS","Length: 0, mss: 65495, sackopt: 1, tsopt: 0, wsopt: 1, rcvwin: 65535, rcvwinscale: 8"
"5:42:47.5930020 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:51456 -> kubernetes.docker.internal:https","SUCCESS","Length: 322, startime: 543640, endtime: 543640, seqnum: 0, connid: 0"
"5:42:47.5936246 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:51455 -> kubernetes.docker.internal:https","SUCCESS","Length: 80, startime: 543640, endtime: 543640, seqnum: 0, connid: 0"
"5:42:47.5937392 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:51455 -> kubernetes.docker.internal:https","SUCCESS","Length: 262, startime: 543640, endtime: 543640, seqnum: 0, connid: 0"
