"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"5:42:47.6010791 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:51456 -> kubernetes.docker.internal:https","SUCCESS","Length: 80, startime: 543641, endtime: 543641, seqnum: 0, connid: 0"
"5:42:47.6013369 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:51456 -> kubernetes.docker.internal:https","SUCCESS","Length: 2211, startime: 543641, endtime: 543641, seqnum: 0, connid: 0"
"5:42:48.2046490 PM","BlueArchive.exe","15548","TCP Connect","kubernetes.docker.internal:51458 -> kubernetes.docker.internal:51457","SUCCESS","Length: 0, mss: 65495, sackopt: 1, tsopt: 0, wsopt: 1, rcvwin: 65535, rcvwinscale: 8"
"5:42:48.2049436 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:51458 -> kubernetes.docker.internal:51457","SUCCESS","Length: 9, startime: 543701, endtime: 543701, seqnum: 0, connid: 0"
"5:42:48.2075245 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:51457 -> kubernetes.docker.internal:51458","SUCCESS","Length: 1, startime: 543701, endtime: 543701, seqnum: 0, connid: 0"
"5:42:48.2107552 PM","BlueArchive.exe","15548","TCP Connect","kubernetes.docker.internal:51459 -> kubernetes.docker.internal:https","SUCCESS","Length: 0, mss: 65495, sackopt: 1, tsopt: 0, wsopt: 1, rcvwin: 65535, rcvwinscale: 8"
"5:42:48.2841800 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:51459 -> kubernetes.docker.internal:https","SUCCESS","Length: 471, startime: 543709, endtime: 543709, seqnum: 0, connid: 0"
"5:42:48.3342821 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:51459 -> kubernetes.docker.internal:https","SUCCESS","Length: 80, startime: 543714, endtime: 543714, seqnum: 0, connid: 0"
"5:42:48.3347112 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:51459 -> kubernetes.docker.internal:https","SUCCESS","Length: 822, startime: 543714, endtime: 543714, seqnum: 0, connid: 0"
"5:42:49.5668569 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:51459 -> kubernetes.docker.internal:https","SUCCESS","Length: 24, startime: 543837, endtime: 543837, seqnum: 0, connid: 0"
"5:42:49.5711880 PM","BlueArchive.exe","15548","TCP Connect","kubernetes.docker.internal:59989 -> kubernetes.docker.internal:59988","SUCCESS","Length: 0, mss: 65495, sackopt: 1, tsopt: 0, wsopt: 1, rcvwin: 65535, rcvwinscale: 8"
"5:42:49.5716974 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:59989 -> kubernetes.docker.internal:59988","SUCCESS","Length: 9, startime: 543838, endtime: 543838, seqnum: 0, connid: 0"
"5:42:49.5752567 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:59988 -> kubernetes.docker.internal:59989","SUCCESS","Length: 1, startime: 543838, endtime: 543838, seqnum: 0, connid: 0"
"5:42:49.5785931 PM","BlueArchive.exe","15548","TCP Connect","kubernetes.docker.internal:59990 -> kubernetes.docker.internal:https","SUCCESS","Length: 0, mss: 65495, sackopt: 1, tsopt: 0, wsopt: 1, rcvwin: 65535, rcvwinscale: 8"
"5:42:49.5923158 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:59990 -> kubernetes.docker.internal:https","SUCCESS","Length: 471, startime: 543840, endtime: 543840, seqnum: 0, connid: 0"
"5:42:49.6051373 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:59990 -> kubernetes.docker.internal:https","SUCCESS","Length: 80, startime: 543841, endtime: 543841, seqnum: 0, connid: 0"
"5:42:49.6053920 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:59990 -> kubernetes.docker.internal:https","SUCCESS","Length: 410, startime: 543841, endtime: 543841, seqnum: 0, connid: 0"
"5:42:49.9654505 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:59990 -> kubernetes.docker.internal:https","SUCCESS","Length: 24, startime: 543877, endtime: 543877, seqnum: 0, connid: 0"
"5:42:50.0068166 PM","BlueArchive.exe","15548","TCP Connect","kubernetes.docker.internal:60955 -> kubernetes.docker.internal:60954","SUCCESS","Length: 0, mss: 65495, sackopt: 1, tsopt: 0, wsopt: 1, rcvwin: 65535, rcvwinscale: 8"
"5:42:50.0074576 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:60955 -> kubernetes.docker.internal:60954","SUCCESS","Length: 9, startime: 543881, endtime: 543881, seqnum: 0, connid: 0"
"5:42:50.0116014 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:60954 -> kubernetes.docker.internal:60955","SUCCESS","Length: 1, startime: 543882, endtime: 543882, seqnum: 0, connid: 0"
"5:42:50.0142045 PM","BlueArchive.exe","15548","TCP Connect","kubernetes.docker.internal:60958 -> kubernetes.docker.internal:https","SUCCESS","Length: 0, mss: 65495, sackopt: 1, tsopt: 0, wsopt: 1, rcvwin: 65535, rcvwinscale: 8"
"5:42:50.0287040 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:60958 -> kubernetes.docker.internal:https","SUCCESS","Length: 467, startime: 543883, endtime: 543883, seqnum: 0, connid: 0"
"5:42:50.0485297 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:60958 -> kubernetes.docker.internal:https","SUCCESS","Length: 80, startime: 543885, endtime: 543885, seqnum: 0, connid: 0"
"5:42:50.0489449 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:60958 -> kubernetes.docker.internal:https","SUCCESS","Length: 429, startime: 543885, endtime: 543885, seqnum: 0, connid: 0"
"5:42:50.6930679 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:60958 -> kubernetes.docker.internal:https","SUCCESS","Length: 24, startime: 543950, endtime: 543950, seqnum: 0, connid: 0"
"5:42:50.7228854 PM","BlueArchive.exe","15548","TCP Connect","kubernetes.docker.internal:60962 -> kubernetes.docker.internal:60961","SUCCESS","Length: 0, mss: 65495, sackopt: 1, tsopt: 0, wsopt: 1, rcvwin: 65535, rcvwinscale: 8"
"5:42:50.7232212 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:60962 -> kubernetes.docker.internal:60961","SUCCESS","Length: 9, startime: 543953, endtime: 543953, seqnum: 0, connid: 0"
"5:42:50.7250772 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:60961 -> kubernetes.docker.internal:60962","SUCCESS","Length: 1, startime: 543953, endtime: 543953, seqnum: 0, connid: 0"
"5:42:50.7266435 PM","BlueArchive.exe","15548","TCP Connect","kubernetes.docker.internal:60963 -> kubernetes.docker.internal:https","SUCCESS","Length: 0, mss: 65495, sackopt: 1, tsopt: 0, wsopt: 1, rcvwin: 65535, rcvwinscale: 8"
"5:42:50.9726460 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:60963 -> kubernetes.docker.internal:https","SUCCESS","Length: 471, startime: 543978, endtime: 543978, seqnum: 0, connid: 0"
"5:42:51.0577166 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:60963 -> kubernetes.docker.internal:https","SUCCESS","Length: 80, startime: 543986, endtime: 543986, seqnum: 0, connid: 0"
"5:42:51.0580117 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:60963 -> kubernetes.docker.internal:https","SUCCESS","Length: 535, startime: 543986, endtime: 543986, seqnum: 0, connid: 0"
"5:42:52.2121342 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:60963 -> kubernetes.docker.internal:https","SUCCESS","Length: 24, startime: 544102, endtime: 544102, seqnum: 0, connid: 0"
"5:42:52.2192538 PM","BlueArchive.exe","15548","TCP Connect","kubernetes.docker.internal:60969 -> kubernetes.docker.internal:60968","SUCCESS","Length: 0, mss: 65495, sackopt: 1, tsopt: 0, wsopt: 1, rcvwin: 65535, rcvwinscale: 8"
"5:42:52.2197800 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:60969 -> kubernetes.docker.internal:60968","SUCCESS","Length: 9, startime: 544102, endtime: 544103, seqnum: 0, connid: 0"
"5:42:52.2229025 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:60968 -> kubernetes.docker.internal:60969","SUCCESS","Length: 1, startime: 544103, endtime: 544103, seqnum: 0, connid: 0"
"5:42:52.2254685 PM","BlueArchive.exe","15548","TCP Connect","kubernetes.docker.internal:60970 -> kubernetes.docker.internal:https","SUCCESS","Length: 0, mss: 65495, sackopt: 1, tsopt: 0, wsopt: 1, rcvwin: 65535, rcvwinscale: 8"
"5:42:52.2376053 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:60970 -> kubernetes.docker.internal:https","SUCCESS","Length: 471, startime: 544104, endtime: 544104, seqnum: 0, connid: 0"
"5:42:52.2767529 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:60970 -> kubernetes.docker.internal:https","SUCCESS","Length: 80, startime: 544108, endtime: 544108, seqnum: 0, connid: 0"
"5:42:52.2773814 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:60970 -> kubernetes.docker.internal:https","SUCCESS","Length: 428, startime: 544108, endtime: 544108, seqnum: 0, connid: 0"
"5:42:52.7085567 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:60970 -> kubernetes.docker.internal:https","SUCCESS","Length: 24, startime: 544151, endtime: 544151, seqnum: 0, connid: 0"
"5:42:52.7267414 PM","BlueArchive.exe","15548","TCP Connect","kubernetes.docker.internal:60971 -> kubernetes.docker.internal:https","SUCCESS","Length: 0, mss: 65495, sackopt: 1, tsopt: 0, wsopt: 1, rcvwin: 65535, rcvwinscale: 8"
"5:42:52.7278122 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:60971 -> kubernetes.docker.internal:https","SUCCESS","Length: 322, startime: 544153, endtime: 544153, seqnum: 0, connid: 0"
"5:42:52.7330490 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:60971 -> kubernetes.docker.internal:https","SUCCESS","Length: 80, startime: 544154, endtime: 544154, seqnum: 0, connid: 0"
"5:42:52.7331089 PM","BlueArchive.exe","15548","TCP Connect","kubernetes.docker.internal:60972 -> kubernetes.docker.internal:https","SUCCESS","Length: 0, mss: 65495, sackopt: 1, tsopt: 0, wsopt: 1, rcvwin: 65535, rcvwinscale: 8"
"5:42:52.7332602 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:60971 -> kubernetes.docker.internal:https","SUCCESS","Length: 883, startime: 544154, endtime: 544154, seqnum: 0, connid: 0"
"5:42:52.7350653 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:60972 -> kubernetes.docker.internal:https","SUCCESS","Length: 322, startime: 544154, endtime: 544154, seqnum: 0, connid: 0"
"5:42:52.7507954 PM","BlueArchive.exe","15548","TCP Connect","kubernetes.docker.internal:60974 -> kubernetes.docker.internal:60973","SUCCESS","Length: 0, mss: 65495, sackopt: 1, tsopt: 0, wsopt: 1, rcvwin: 65535, rcvwinscale: 8"
"5:42:52.7511906 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:60974 -> kubernetes.docker.internal:60973","SUCCESS","Length: 9, startime: 544156, endtime: 544156, seqnum: 0, connid: 0"
"5:42:52.7543586 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:60973 -> kubernetes.docker.internal:60974","SUCCESS","Length: 1, startime: 544156, endtime: 544156, seqnum: 0, connid: 0"
"5:42:52.7576070 PM","BlueArchive.exe","15548","TCP Connect","kubernetes.docker.internal:60975 -> kubernetes.docker.internal:https","SUCCESS","Length: 0, mss: 65495, sackopt: 1, tsopt: 0, wsopt: 1, rcvwin: 65535, rcvwinscale: 8"
"5:42:52.7705590 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:60975 -> kubernetes.docker.internal:https","SUCCESS","Length: 471, startime: 544158, endtime: 544158, seqnum: 0, connid: 0"
"5:42:52.9606437 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:60972 -> kubernetes.docker.internal:https","SUCCESS","Length: 80, startime: 544177, endtime: 544177, seqnum: 0, connid: 0"
"5:42:52.9612257 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:60972 -> kubernetes.docker.internal:https","SUCCESS","Length: 938, startime: 544177, endtime: 544177, seqnum: 0, connid: 0"
"5:42:53.1500374 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:60975 -> kubernetes.docker.internal:https","SUCCESS","Length: 80, startime: 544196, endtime: 544196, seqnum: 0, connid: 0"
"5:42:53.1503105 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:60975 -> kubernetes.docker.internal:https","SUCCESS","Length: 430, startime: 544196, endtime: 544196, seqnum: 0, connid: 0"
"5:42:53.6147074 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:60975 -> kubernetes.docker.internal:https","SUCCESS","Length: 24, startime: 544242, endtime: 544242, seqnum: 0, connid: 0"
"5:42:53.6489652 PM","BlueArchive.exe","15548","TCP Connect","kubernetes.docker.internal:60978 -> kubernetes.docker.internal:https","SUCCESS","Length: 0, mss: 65495, sackopt: 1, tsopt: 0, wsopt: 1, rcvwin: 65535, rcvwinscale: 8"
"5:42:53.6497974 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:60978 -> kubernetes.docker.internal:https","SUCCESS","Length: 315, startime: 544245, endtime: 544246, seqnum: 0, connid: 0"
"5:42:53.6942127 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:60978 -> kubernetes.docker.internal:https","SUCCESS","Length: 42, startime: 544250, endtime: 544250, seqnum: 0, connid: 0"
"5:42:53.6957976 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:60978 -> kubernetes.docker.internal:https","SUCCESS","Length: 6, startime: 544250, endtime: 544250, seqnum: 0, connid: 0"
"5:42:53.6963241 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:60978 -> kubernetes.docker.internal:https","SUCCESS","Length: 45, startime: 544250, endtime: 544250, seqnum: 0, connid: 0"
"5:42:53.6974352 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:60978 -> kubernetes.docker.internal:https","SUCCESS","Length: 1358, startime: 544250, endtime: 544250, seqnum: 0, connid: 0"
"5:42:54.2110996 PM","BlueArchive.exe","15548","TCP Connect","kubernetes.docker.internal:60982 -> kubernetes.docker.internal:60981","SUCCESS","Length: 0, mss: 65495, sackopt: 1, tsopt: 0, wsopt: 1, rcvwin: 65535, rcvwinscale: 8"
"5:42:54.2113482 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:60982 -> kubernetes.docker.internal:60981","SUCCESS","Length: 9, startime: 544302, endtime: 544302, seqnum: 0, connid: 0"
"5:42:54.2129806 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:60981 -> kubernetes.docker.internal:60982","SUCCESS","Length: 1, startime: 544302, endtime: 544302, seqnum: 0, connid: 0"
"5:42:54.2143337 PM","BlueArchive.exe","15548","TCP Connect","kubernetes.docker.internal:60983 -> kubernetes.docker.internal:https","SUCCESS","Length: 0, mss: 65495, sackopt: 1, tsopt: 0, wsopt: 1, rcvwin: 65535, rcvwinscale: 8"
"5:42:54.2292937 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:60983 -> kubernetes.docker.internal:https","SUCCESS","Length: 467, startime: 544303, endtime: 544303, seqnum: 0, connid: 0"
"5:42:54.2480477 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:60983 -> kubernetes.docker.internal:https","SUCCESS","Length: 80, startime: 544305, endtime: 544305, seqnum: 0, connid: 0"
"5:42:54.2482597 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:60983 -> kubernetes.docker.internal:https","SUCCESS","Length: 1026, startime: 544305, endtime: 544305, seqnum: 0, connid: 0"
"5:42:54.5212372 PM","BlueArchive.exe","15548","TCP Connect","kubernetes.docker.internal:60984 -> kubernetes.docker.internal:https","SUCCESS","Length: 0, mss: 65495, sackopt: 1, tsopt: 0, wsopt: 1, rcvwin: 65535, rcvwinscale: 8"
"5:42:54.5237378 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:60984 -> kubernetes.docker.internal:https","SUCCESS","Length: 322, startime: 544333, endtime: 544333, seqnum: 0, connid: 0"
"5:42:54.5574592 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:60984 -> kubernetes.docker.internal:https","SUCCESS","Length: 80, startime: 544336, endtime: 544336, seqnum: 0, connid: 0"
"5:42:54.5579251 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:60984 -> kubernetes.docker.internal:https","SUCCESS","Length: 862, startime: 544336, endtime: 544336, seqnum: 0, connid: 0"
"5:42:54.8748527 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:60983 -> kubernetes.docker.internal:https","SUCCESS","Length: 24, startime: 544368, endtime: 544368, seqnum: 0, connid: 0"
"5:42:56.6220848 PM","BlueArchive.exe","15548","TCP Connect","kubernetes.docker.internal:60990 -> kubernetes.docker.internal:https","SUCCESS","Length: 0, mss: 65495, sackopt: 1, tsopt: 0, wsopt: 1, rcvwin: 65535, rcvwinscale: 8"
"5:42:56.6250282 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:60990 -> kubernetes.docker.internal:https","SUCCESS","Length: 322, startime: 544543, endtime: 544543, seqnum: 0, connid: 0"
"5:42:56.6306598 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:60990 -> kubernetes.docker.internal:https","SUCCESS","Length: 80, startime: 544544, endtime: 544544, seqnum: 0, connid: 0"
"5:42:56.6311576 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:60990 -> kubernetes.docker.internal:https","SUCCESS","Length: 16406, startime: 544544, endtime: 544544, seqnum: 0, connid: 0"
"5:42:56.6315417 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:60990 -> kubernetes.docker.internal:https","SUCCESS","Length: 5685, startime: 544544, endtime: 544544, seqnum: 0, connid: 0"
"5:43:07.6843656 PM","BlueArchive.exe","15548","TCP Connect","kubernetes.docker.internal:61009 -> kubernetes.docker.internal:https","SUCCESS","Length: 0, mss: 65495, sackopt: 1, tsopt: 0, wsopt: 1, rcvwin: 65535, rcvwinscale: 8"
"5:43:07.6854243 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:61009 -> kubernetes.docker.internal:https","SUCCESS","Length: 322, startime: 545649, endtime: 545649, seqnum: 0, connid: 0"
"5:43:07.6893354 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:61009 -> kubernetes.docker.internal:https","SUCCESS","Length: 80, startime: 545649, endtime: 545649, seqnum: 0, connid: 0"
"5:43:07.6894744 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:61009 -> kubernetes.docker.internal:https","SUCCESS","Length: 1966, startime: 545649, endtime: 545649, seqnum: 0, connid: 0"
"5:43:08.6988413 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:52799 -> kubernetes.docker.internal:52798","SUCCESS","Length: 1, startime: 545750, endtime: 545750, seqnum: 0, connid: 0"
